#[0]step() [1]time(s) [2]dL_dt(m^-2*s^-1) [3]chimin_beam_e() [4]chiave_beam_e() [5]chimax_beam_e() [6]x_ave_beam_e(m) [7]y_ave_beam_e(m) [8]x_std_beam_e(m) [9]y_std_beam_e(m) [10]thetax_ave_beam_e(rad) [11]thetay_ave_beam_e(rad) [12]thetax_std_beam_e(rad) [13]thetay_std_beam_e(rad) [14]thetax_min_beam_e(rad) [15]thetay_min_beam_e(rad) [16]thetax_max_beam_e(rad) [17]thetay_max_beam_e(rad) [18]chimin_beam_p() [19]chiave_beam_p() [20]chimax_beam_p() [21]x_ave_beam_p(m) [22]y_ave_beam_p(m) [23]x_std_beam_p(m) [24]y_std_beam_p(m) [25]thetax_ave_beam_p(rad) [26]thetay_ave_beam_p(rad) [27]thetax_std_beam_p(rad) [28]thetay_std_beam_p(rad) [29]thetax_min_beam_p(rad) [30]thetay_min_beam_p(rad) [31]thetax_max_beam_p(rad) [32]thetay_max_beam_p(rad)
0 0.00000000000000e+00 0.00000000000000e+00 5.79758527070012e-20 1.41694030970378e-13 5.76668991088651e-13 -1.61684006356443e-11 -8.25863653623853e-13 3.10441538806365e-07 7.69127652292885e-09 3.14159265358979e+00 3.14159265358979e+00 4.36488393556865e-16 4.36488393556865e-16 3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 1.80662955068558e-19 1.41725697850988e-13 5.77697661268582e-13 2.28183378858579e-11 -5.45103035882544e-13 3.12716762667355e-07 7.69062876636114e-09 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
1 5.00346142797228e-14 0.00000000000000e+00 1.34726399731306e-19 1.40504353832099e-13 5.75242282685448e-13 -1.61684006356170e-11 -8.25863653623996e-13 3.10441511572815e-07 7.69127642668765e-09 5.76570654958705e-03 5.70109392803024e-04 6.57268527337734e-01 3.14159221588277e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 2.64092212870237e-19 1.40530351012481e-13 5.72847173345430e-13 2.28183378857910e-11 -5.45103035882671e-13 3.12435765029232e-07 7.69062855864626e-09 -5.16213481772653e-23 -9.30088885172863e-21 2.50751381085886e-18 2.20096760911387e-16 -1.62292972035591e-17 -1.41201312748491e-15 1.61667640952850e-17 1.42357092474089e-15
2 1.00069228559446e-13 0.00000000000000e+00 6.94089873243345e-20 1.40507397909596e-13 5.74956946122256e-13 -1.61684006356442e-11 -8.25863653624503e-13 3.10441474766703e-07 7.69127606471229e-09 6.09092248043300e-03 5.51612444470645e-04 5.80144007842588e-01 3.14159213914620e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 2.69668542807716e-19 1.40530618811381e-13 5.73545268795372e-13 2.28183378858291e-11 -5.45103035882986e-13 3.12179983373299e-07 7.69062874307358e-09 3.62900697128136e-22 -2.16344408767490e-20 6.00384919723258e-18 5.12311638230350e-16 -3.78218909158515e-17 -3.13265287114660e-15 3.75913308676595e-17 3.15117636966523e-15
3 1.50103842839168e-13 0.00000000000000e+00 1.27502758362384e-19 1.40507625192999e-13 5.75392462301973e-13 -1.61684006356322e-11 -8.25863653625250e-13 3.10441496509557e-07 7.69127641113643e-09 5.88228630405287e-03 6.34102906849544e-04 6.11470487215631e-01 3.14159226572776e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 2.53369988825870e-19 1.40531777308229e-13 5.73598080287124e-13 2.28183378858152e-11 -5.45103035883470e-13 3.11955678870103e-07 7.69062865536545e-09 2.59828622060268e-22 -3.36127387927454e-20 9.53585767857541e-18 8.12118926253249e-16 -5.93232491622763e-17 -4.88072587938903e-15 5.91312147917459e-17 4.91903219015351e-15
4 2.00138457118891e-13 0.00000000000000e+00 1.03138989225676e-19 1.40503647618618e-13 5.74799286732206e-13 -1.61684006356040e-11 -8.25863653626210e-13 3.10441500502135e-07 7.69127632659922e-09 6.04675492099522e-03 5.60144310289916e-04 5.89522649201144e-01 3.14159232117662e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 2.73776917210961e-19 1.40530652778262e-13 5.72854439578505e-13 2.28183378858298e-11 -5.45103035884255e-13 3.11753032032036e-07 7.69062856356196e-09 5.18974597244128e-22 -5.04081504277108e-20 1.30254019361525e-17 1.10467719850363e-15 -8.09985651183831e-17 -6.62472690325215e-15 8.07011321428114e-17 6.66499239602000e-15
5 2.50173071398614e-13 0.00000000000000e+00 8.53517954039286e-20 1.40506267740072e-13 5.75302356912933e-13 -1.61684006356381e-11 -8.25863653627356e-13 3.10441525645700e-07 7.69127656018879e-09 5.80704993077614e-03 5.93329015460542e-04 6.04492702405089e-01 3.14159237416033e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 2.56629491337514e-19 1.40533250533727e-13 5.73936053179469e-13 2.28183378858045e-11 -5.45103035885166e-13 3.11571131190635e-07 7.69062879323463e-09 3.96148599999320e-22 -6.17911475049648e-20 1.65380648175577e-17 1.40453728615189e-15 -1.02556154225532e-16 -8.36869566256629e-15 1.02164420774461e-16 8.42703332312137e-15
6 3.00207685678337e-13 0.00000000000000e+00 1.34745908979425e-19 1.40503207033744e-13 5.75234806594990e-13 -1.61684006356339e-11 -8.25863653628780e-13 3.10441526555351e-07 7.69127642438117e-09 6.12908992770404e-03 5.98329383438713e-04 5.92740785034664e-01 3.14159234211838e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 2.64093951393277e-19 1.40531897259587e-13 5.72869700638735e-13 2.28183378858164e-11 -5.45103035886339e-13 3.11412130879482e-07 7.69062849139871e-09 1.06421221277101e-21 -7.83663467300089e-20 2.00086317400658e-17 1.69730273348641e-15 -1.24169626552146e-16 -1.01136347084972e-14 1.23774810447437e-16 1.01766842571059e-14
7 3.50242299958060e-13 0.00000000000000e+00 6.93957157525880e-20 1.40500720660323e-13 5.74926909728224e-13 -1.61684006356151e-11 -8.25863653630403e-13 3.10441534575376e-07 7.69127640312385e-09 5.88452724120994e-03 5.43870079608757e-04 6.02729452312050e-01 3.14159214736424e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 2.69661672397841e-19 1.40532934072313e-13 5.73560287000199e-13 2.28183378858036e-11 -5.45103035887687e-13 3.11269314009542e-07 7.69062823954076e-09 9.73366459248771e-22 -8.95919142657965e-20 2.35174968142293e-17 1.99717505182008e-15 -1.45813632969664e-16 -1.18600989738677e-14 1.45261147259750e-16 1.19398459382831e-14
8 4.00276914237782e-13 0.00000000000000e+00 1.27506729993368e-19 1.40508272131774e-13 5.75384953203311e-13 -1.61684006356196e-11 -8.25863653632447e-13 3.10441580791319e-07 7.69127627499529e-09 6.07081024585471e-03 6.20237702107893e-04 5.93413496098137e-01 3.14159230478702e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 2.53369678210201e-19 1.40529240968559e-13 5.73590571183354e-13 2.28183378858223e-11 -5.45103035889269e-13 3.11143216825759e-07 7.69062840968991e-09 1.67210381655406e-21 -1.05645724856212e-19 2.70166339941881e-17 2.28994455702400e-15 -1.67350493834501e-16 -1.35996227913425e-14 1.66834491491758e-16 1.36864838083610e-14
9 4.50311528517505e-13 0.00000000000000e+00 1.03137035849262e-19 1.40502416235027e-13 5.74784268541783e-13 -1.61684006356260e-11 -8.25863653634696e-13 3.10441585777855e-07 7.69127654017381e-09 5.97670269935611e-03 5.92362590958203e-04 6.01904384542868e-01 3.14159232132416e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 2.73764183420449e-19 1.40529600053862e-13 5.72854439569609e-13 2.28183378858278e-11 -5.45103035891037e-13 3.11033025526630e-07 7.69062839508414e-09 1.62055043057413e-21 -1.17346868319850e-19 3.05753512503846e-17 2.58982312527163e-15 -1.89032579315549e-16 -1.53521882596576e-14 1.88400100013199e-16 1.54536598533111e-14
